id,text,playCount,shareCount,commentCount,authorMeta_name,authorMeta_nickName,authorMeta_verified,musicMeta_musicName,musicMeta_musicAuthor,musicMeta_musicOriginal,videoMeta_duration
6885248860281654529,#duet with @garyvee - accurate. #entrepreneur #business #lifestyle,65200,5,20,benjamin_robert_graham,Benjamin_Graham,False,Behemon Pokemon X Svdden Death,Bottlebrush Films,True,17
6890352437425638658,Casual paseando a caballo #fyp #hahaha #horsegirl #horse #horsegirlvibes #horsesontiktok #horseslover,71000,190,110,venturadriana1,Ventura Adriana,False,Ay Mi Pendejo,La Nevula23 Productor,False,28
6904653648349957377,Neymar #11 #встилеRIO #rec #recommendations #рек #футбол #рекомендации #неймар #neymar #barcelona,10600,1,1,vv.dem.vv,Влад Дементьев,False,Кайф ты поймала - Alexei Shkurko Remix,Konfuz,False,20
6877726677334510849,It isn’t just for lazy trouts #fyp #foryou #foryoupage #fitness #supplements #gains #gymshark #bodybuilder #preworkout,51200,131,122,evan_holmes_,Evan Holmes,False,Ashes,Stellar,False,51
6903134814715661570,"Bourtange, the Netherlands 🇳🇱 #travel #traveldiaries #fyp #foryou #dreamy #christmas",139500,447,370,rooshazeveld,Roos,False,It's Beginning To Look A Lot Like Christmas,Perry Como & The Fontane Sisters,False,16
6906757897628192005,I kept messing it up 😂 #fyp,4200000,4682,1225,tylerandemmaa,Tyler and Emma,False,original sound,Aye yo,True,8
6875651291343883522,I think my mom hates me now 😁#backyard #project #pool #johndeere #onabudget #foryou #fyp,2600000,619,734,martijn.schilder,Martijn Schilder,False,Backyard Boy,Claire Rosinkranz,False,16
6900197975818095873,comment what I should cover next! :) #fy #tiktokviral #viralsinger #alabamaarkansas #bekind #lifeathome,52700,75,226,sophiestunes,sophiestunes ,False,home short cover by sophiestunes,sophiestunes ,True,21
6880196605513927938,"1,2,3,4 or 5???📸👆#mix #tiktokcreator #creative #jadsedardkomitao #photo #vfx #gopro #sunset #photomagic #poto #fly #fyp #verifyme",25100000,26000,12000,zayn_inzi,📸Inzi Brophy📸,True,original sound,📸Inzi Brophy📸,True,40
6880122437594270978,Antwoorden aan @logiciv Wie maakt ze ongeveer het zelfde? 😋 #wraps #tortilla #koken #fyp #onabudget #chicken,1200000,1634,1243,chef.lukeyluc,Chef.LukeyLuc,False,Jailhouse Rock,Elvis Presley,False,54
6906048081628859650,Do u like?#art #drawing #decoration #painting #fyp,31900,11,4,jackbobo8,jackbobo8,False,Hai phút hơn,marlene,True,7
6897549344015371521,i hate my voice #fyp #JoyWithPret #billieeilish #lesbian #gaygirl #lgbt #foryoupage #viral #trend #xyzbca,9282,7,25,ebonyalicia,Ebzzz 🤭,False,Original Sound,Unknown,False,10
6892133738705177857,#duet met @jessevdreek  we live in slowmo.. #pov je loopt langs onze vriendengroep..,50500,11,46,ninadewilde1,Nina,False,Applause lady Gaga,Xavier Flemister,True,15
6882317577692138754,HBD to me 🥳 #anime #weeb #otaku #lovelive #animeedit #animeedits #yoshiko #yoshikotsushima #lovelivesunshine #fyp,24000,55,103,josh_senpai_,Read my bio,False,Just Dance,Lady Gaga,False,25
6898628429298568450,#excavator#jurassicpark,67800,217,39,marcelschaap,Marcel Schaap,False,Welcome to Jurassic Park,Philip Green,True,15
6902451462962547969,#dilemma #vlees okee laat het allemaal even weten ik weet t namenlijk nie meer #fy #dutch,27700,39,329,xliefsjoy,Joy Blijd,False,origineel geluid,Joy Blijd,True,42
6905109455466220805,8 week cut #fyp #gymshark #fypシ #fatloss #progress #motivation #transformation #diet #natural #pain #body #how #viral #OOTD #Catchphrases #abs,76500,89,838,cjrfit,CJRF,False,Thank you all for using my sound,Jake,True,17
6891275439826930946,😬#ashmezz #voorjou #voorjoupagina #nederlands #nederlandsetiktokkers #nederland #tiktokholland #dutch,493900,352,3735,ashmezz,ashraf,False,origineel geluid,Starbuckswaggie,True,30
6886066384246443265,#duet met @elisavanleersum,50500,9,8,matthijs_p,Matthijs_p,False,original sound,soextra,True,15
6890329452253908230,Powder room make over.,3500000,9077,713,mrsgiacalone,user1165647536107,False,Take You Dancing,Jason Derulo,False,20
6893087415263644930,If you’re a girl with brown eyes hmu👀 #nederland #vibetiktok #british #fy #likelike #liamkratos #tiktoktraditions #fyp #foryou #dutch,35800,52,438,liamkratos,Liam Kratos,False,Kygo & Labrinth - Fragile,🩹,True,8
6905053286374706433,🤷🏻‍♂️🙄 #fy #fyp #foryou #foryourpage,64800,43,101,rayhethertje,Ray Lucas,False,only legends use this sound,georgebxggs is my main,True,10
6903954146630569217,if you know you know #fyp #voorjou #dutch,107600,44,61,iriswaarbieris,iris ✨,False,How Bizarre,OMC,False,9
6880592183720676614,no one wants to help me make a tikytoky so I found a way to do this on my own,54900,13,100,classicmadii,Madi,False,Viva La Swing aka #SandoTwist by @Abiud_Sando,Mingaling 2.0,True,15
6903908757386841346,Missen jullie de feesten ook zo? (Insta: larsspeters) || #foryou #voorjou #dutch #school #party #toets #tentamen #fyp #sad #single,32000,13,26,larsspeters,Lars Peters,False,sonido original,🇨🇵🇨🇱,True,8
6875378565614013697,"En dan vervolgens gwn een halfuur zo op je bed blijft ligge, dan weet je dat je heerlijk hebt getrained #training #uitgeput #moe #thuiskomen #temoe",179000,125,111,salvatore.ln,Salvatore,False,Lemonade,Internet Money & Gunna & Don Toliver,False,7
6885153736222706949,My biggest asset 😂😉 #fit #fitness #gym #lift #fyp,148300,59,145,parmesan_1717,Parmesan_1717,False,original sound,Nardwuar,True,7
6876805952117558529,Wie zou er op mij stemmen als premier?😆😆 tag iemand die te veel eet 😉 #ronanvdloo #volgderegels #ikdoemee #fy #fyp,119000,370,241,ronanvanderloo,Ronan van der Loo,False,origineel geluid,Ronan van der Loo,True,58
6904973629524692230,This is so good! #fyp #f1 #funny #racing,427300,2044,124,formule_1_facts,formule_1_facts,False,origineel geluid,formule_1_facts,True,58
6902038249573731586,#horadearrasar #amizadeverdadeira,67200,84,93,henrydag10,user3118553837263,False,som original,user7025872522068,True,13
6879724138114665730,Typisch Spaans 🇪🇸 eten proeven deel 1 🔥 Zou jij dit lekker vinden of niet? 👀 met @dvlsantiago,98700,5,29,nl.finn,Finn 🔥🔥🔥,False,Monkeys Spinning Monkeys,Kevin MacLeod,False,31
6903923265945849089,,382100,86,368,shehan951,🤙,False,original sound,Madushani Madu,True,10
6886654544126758146,ආසවට කලේ😂,14000,2,12,j_a_n_a_k__a,꧁乂𝕛𝕒𝕟𝕒𝕜𝕒乂꧂,False,බොම්බයි මොටයි Youtube Channel,Do you know who ?,True,22
6879936527829404933,@sheismarissamatthews #greenscreenvideo #foryoupage #fyp #foryou #powerlifting #bodybuilding #deadlift #fitness #workout #fittok #powertok,61900,67,271,timmytimmadome,Tim Thebodeau,False,original sound,Tim Thebodeau,True,57
6904405263386758402,,8916,0,4,sithumchamikadhi,Sithum Chamika Dhisa,False,original sound,ZEUS乄VIŃKY,True,12
6875621663564680450,So proud of how far Enzo has come... what do you guys think? #horse #eventing #training #equestrian #horsegirl,201400,32,60,elirose.equestrian,Elizabeth,False,Red Kingdom,Tech N9ne,False,9
6898499724245093633,"Horses deserve to be treated with respect, not forced to carry tourists through the streets  #vegan #horse #animalrights #horsecarriage",31700,8,329,vegantrev,vegan-trev,False,XGamesMode,Synk,False,7
6904638377530772741,#horadearrasar,791000,607,0,ceciliamaria5677,Maria Cecília👁👄👁,False,som original,djlucasbeat,True,13
6898332186299337986,#VeryBlackFriday #joywithpret #timewarpscan #justdancemoves #duet #asosdaytofright #equestrian #horse #4yp,6703,2,18,ryan_fudge_1012,Ryan_fudge_1012,False,1 Mill vids omg,😍🎶🎶,True,12
6876643374548438274,හම්මෝ ඒක 😁😂😅 #tharusha_shamal #rastha_lions #boodle_gang #tiktok #foryou #foryoupage #comedy #funny #,19400,87,148,tharusha_shamal,Tharusha_shamal_තරූ,False,original sound,tha______ru🤦‍♂️sha❤❤®______,True,35
6886459209051852038,#fyp #fitness #ComingOfAge #mobility #movement,95000,410,25,shaun.abbate,Shaun Abbate,False,Dreams (2004 Remaster),Fleetwood Mac,False,15
6902938842874121474,#duet with @asleep.emma #greenscreen #foryoupage #foryou #fyp #wwe,143700,49,564,fahedsakr,Fahed Sakr,False,I started the nuke town trend,𝕮𝖍𝖗𝖎𝖘,True,8
6881414725075242246,super happy with the result but yea I slowed down so much... #runner #crosscountry #track #xc #gorun #fast,52300,9,67,emma.squires10,Emma Squires,False,you broke me first,Tate McRae,False,8
6898056960432704770,#horadearrasar,95900,368,289,eloine242,Cassandra Pereira,False,som original,Tik Toker,True,13
6884030480736324869,Follow for more lifting tips! #foryoupage #fyp #foryou #powerlifting #bodybuilding #squat #fitness #workout #fittok #powertok,163400,172,233,timmytimmadome,Tim Thebodeau,False,original sound,Tim Thebodeau,True,59
6898178733824281861,#duet with @tanisssssss bruh 😂 #transition #transitions #singing,176500,5,26,torres.alejandro,Alejandro Torres,False,original sound,ashley trinh,True,5
6890351133366209793,#horadearrasar,43900,68,75,livia_alagoana,Lívia Alagoana,False,Comprei um Lança,Mc Jacare & Xand Avião,False,13
6884031629522717953,Try not to be jealous of my HUGE calves #foryou #foryoupage #fyp #fitness #bodybuilder #workout #exercise #aesthetics #gymshark,29200,53,39,evan_holmes_,Evan Holmes,False,original sound,thescore ,True,34
6895916039683525890,#duet with @matsoxnevad can’t build a house on a shaky foundation #GrowUpWithMe #tips #gym #health #workout #bodybuilder #fitness #FoodTikTok,40800,20,16,evan_holmes_,Evan Holmes,False,Mood,24KGoldn,False,27
6882850172854979845,@officerkingery - I’m in. #fyp#fypシ#copsoftiktok#firefightersoftiktok#police#firefighter#rival#viral#duet#sorry#prankwars#xyzbca#joking#madrespect,65200,69,117,str8savage__,Tamer Kazan,False,Wake Me Up Before You Go-Go,Wham!,False,7
